week,weekly_mean_sc,weekly_std_sc
1,37.50506533504252,19.46686133425042
2,38.09465126935433,21.009793735340146
3,29.39507320635749,16.98218547380499
4,30.24336823294021,12.53170833025677
5,38.89278798123513,15.77005617002278
6,43.46393735416221,19.055021278881938
7,36.06199672082739,22.025592728909764
8,47.53418247052435,18.946211912395036
9,50.82705548320049,19.852112502052815
10,50.61280675252875,23.403639426298106
11,53.734595872003034,23.983015925004736
12,56.02899404199536,22.901087759388854
13,51.339761361224205,15.477390301089745
14,52.801712508031116,22.007837032583446
15,60.65003651231472,19.82005282252808
16,57.26455566585469,20.53850692518318
17,65.61027511404517,14.537858296212775
18,54.19768546376854,25.281995755782976
19,52.79424066548607,20.398018263233794
20,57.0762084308398,16.914540188631847
21,45.14457053174452,19.300817194486015
22,49.74433030770189,24.980930851438693
23,35.83534726296354,19.346481194893144
24,41.28201958769095,21.686324764977353
25,33.5852096497555,19.012422860671442
26,25.855687221611866,15.262569081687651
27,25.20667604243471,12.809517032308888
28,27.563226647235144,15.390949174942545
29,26.292457528425214,14.524227841429934
30,29.45939618097477,20.3743395744406
31,25.684493152776465,23.194990117892953
32,33.26176767350594,26.434064296087083
33,29.033076687221484,15.447990777695054
34,25.680207691085197,15.140940003981308
35,28.51425251135615,18.818110107133332
36,30.056613125013296,17.595078536293606
37,26.53570862257695,12.156869162066847
38,32.67260306151879,14.300849136729497
39,26.731816276601705,17.62646642508084
40,26.2715948186389,14.042939260215894
41,35.65445211297039,20.486652227780816
42,36.31119033603554,20.272547399283205
43,36.04298051624186,24.44193898291605
44,37.58534540040536,19.20120960165271
45,39.177763088608,18.165759430057147
46,39.02122793583729,16.47260573959238
47,45.40077950838589,14.66999241345752
48,44.10609905277906,13.20663468239015
49,43.3807587983853,19.696827813142338
50,42.617952722963345,17.249476248994775
51,23.394655334739163,15.726647279943888
52,34.001971759666354,20.468782005081547
