Date,Band,Min,Max,Mean,Median,Std,Valid Pixels,Total Pixels
2013-11-01,DNB_BRDF_Corrected_NTL,1.884971061372198e-05,56.09888458251953,0.3241039514541626,0.22613973915576935,0.9559655785560608,61107,89614
2013-11-01,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-01,Gap_Filled_DNB_BRDF_Corrected_NTL,1.884971061372198e-05,62.73017501831055,0.28254079818725586,0.17374061048030853,0.9274595975875854,89614,89614
2013-11-01,Latest_High_Quality_Retrieval,0.0,26.0,0.4678384065628052,0.0,1.3589540719985962,89610,89614
2013-11-01,Mandatory_Quality_Flag,0.0,1.0,0.002814734820276499,0.0,0.05297935754060745,61107,89614
2013-11-01,QF_Cloud_Mask,34.0,1274.0,176.80714416503906,34.0,255.91258239746094,89614,89614
2013-11-01,Snow_Flag,0.0,1.0,7.811279647285119e-05,0.0,0.008837798610329628,89614,89614
2013-11-02,DNB_BRDF_Corrected_NTL,6.239240610739216e-05,73.08265686035156,0.3724086880683899,0.31612271070480347,0.8492341637611389,58865,89614
2013-11-02,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-02,Gap_Filled_DNB_BRDF_Corrected_NTL,6.239240610739216e-05,73.08265686035156,0.3269358277320862,0.23888081312179565,0.9173734188079834,89614,89614
2013-11-02,Latest_High_Quality_Retrieval,0.0,27.0,0.6417252421379089,0.0,1.501814365386963,89610,89614
2013-11-02,Mandatory_Quality_Flag,0.0,1.0,0.000764461059588939,0.0,0.02763831801712513,58865,89614
2013-11-02,QF_Cloud_Mask,34.0,2274.0,267.1712951660156,34.0,328.9511413574219,89614,89614
2013-11-02,Snow_Flag,0.0,1.0,6.695382762700319e-05,0.0,0.00818225834518671,89614,89614
2013-11-03,DNB_BRDF_Corrected_NTL,,,,,,0,89614
2013-11-03,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-03,Gap_Filled_DNB_BRDF_Corrected_NTL,0.00010081561049446464,64.1436996459961,0.18871936202049255,0.12479567527770996,0.8070108890533447,89614,89614
2013-11-03,Latest_High_Quality_Retrieval,1.0,28.0,1.6409552097320557,1.0,1.5017086267471313,89610,89614
2013-11-03,Mandatory_Quality_Flag,,,,,,0,89614
2013-11-03,QF_Cloud_Mask,226.0,1266.0,633.0350341796875,738.0,207.66860961914062,89614,89614
2013-11-03,Snow_Flag,0.0,1.0,8.927176531869918e-05,0.0,0.00944795086979866,89614,89614
2013-11-04,DNB_BRDF_Corrected_NTL,0.0003495043492875993,6.870468616485596,0.17437905073165894,0.14998707175254822,0.2167491912841797,21131,89614
2013-11-04,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-04,Gap_Filled_DNB_BRDF_Corrected_NTL,0.00010081561049446464,64.1436996459961,0.19230814278125763,0.1310286819934845,0.789850115776062,89614,89614
2013-11-04,Latest_High_Quality_Retrieval,0.0,29.0,1.9741884469985962,2.0,1.5898725986480713,89611,89614
2013-11-04,Mandatory_Quality_Flag,0.0,1.0,0.0038332308176904917,0.0,0.06179431453347206,21131,89614
2013-11-04,QF_Cloud_Mask,34.0,2298.0,411.571044921875,242.0,315.81298828125,89614,89614
2013-11-04,Snow_Flag,0.0,1.0,0.00011158971028635278,0.0,0.010563013143837452,89614,89614
2013-11-05,DNB_BRDF_Corrected_NTL,3.030467269127257e-05,183.2345428466797,0.16934329271316528,0.1251750886440277,1.3287074565887451,21584,89614
2013-11-05,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
